Date,Open,High,Low,Actual,Adj Close,Volume,Predicted,Price Diff,MACD,Signal,RSI
2019-09-27,55.13,55.24,54.32,54.71,52.93,101408000,,0.0,,,
2019-09-30,55.22,56.15,55.2,55.99,54.18,103909600,,0.0,,,
2019-10-01,56.27,57.06,56.05,56.15,54.33,139223200,,0.0,,,
2019-10-02,55.76,55.9,54.48,54.74,52.97,138449200,,0.0,,,
2019-10-03,54.61,55.24,53.78,55.21,53.42,114426000,,0.0,,,
2019-10-04,56.41,56.87,55.97,56.75,54.92,138478800,,0.0,,,
2019-10-07,56.57,57.48,56.46,56.76,54.93,122306000,,0.0,,,
2019-10-08,56.46,57.01,56.08,56.1,54.28,111820000,,0.0,,,
2019-10-09,56.76,56.95,56.41,56.76,54.92,74770400,,0.0,,,
2019-10-10,56.98,57.61,56.83,57.52,55.66,113013600,,0.0,,,
2019-10-11,58.24,59.41,58.08,59.05,57.14,166795600,,0.0,,,
2019-10-14,58.72,59.53,58.67,58.97,57.06,96427600,,0.0,,,
2019-10-15,59.1,59.41,58.72,58.83,56.93,87360000,,0.0,,,
2019-10-16,58.34,58.81,58.3,58.59,56.7,73903200,,0.0,,,71.98022427047113
2019-10-17,58.77,59.04,58.38,58.82,56.92,67585200,,0.0,,,73.1929937624346
2019-10-18,58.65,59.4,58.57,59.1,57.19,97433600,,0.0,,,74.63247680585445
2019-10-21,59.38,60.25,59.33,60.13,58.18,87247200,,0.0,,,79.08224330421214
2019-10-22,60.29,60.55,59.9,59.99,58.05,82293600,,0.0,,,77.10252565569535
2019-10-23,60.53,60.81,60.31,60.79,58.83,75828800,,0.0,,,80.15908361808938
2019-10-24,61.13,61.2,60.45,60.9,58.92,69275200,,0.0,,,80.54366952944923
2019-10-25,60.79,61.68,60.72,61.65,59.65,73477200,,0.0,,,82.96779835314554
2019-10-28,61.85,62.31,61.68,62.26,60.25,96572800,,0.0,,,84.64365155754061
2019-10-29,62.24,62.44,60.64,60.82,58.85,142839600,,0.0,,,67.70735739781264
2019-10-30,61.19,61.33,60.3,60.81,58.85,124522000,,0.0,,,67.60619184426697
2019-10-31,61.81,62.29,59.31,62.19,60.18,139162000,,0.0,,,73.49234854573835
2019-11-01,62.38,63.98,62.29,63.96,61.89,151125200,,0.0,1.705535779277561,,78.8105850137751
2019-11-04,64.33,64.46,63.85,64.38,62.29,103272000,,0.0,1.8458281331356332,,79.84396988284381
2019-11-05,64.26,64.55,64.08,64.28,62.2,79897600,,0.0,1.9267315085727503,,78.85786403520734
2019-11-06,64.19,64.37,63.84,64.31,62.23,75864400,,0.0,1.9705534521935917,,78.94188869582051
2019-11-07,64.68,65.09,64.53,64.86,62.95,94940400,,0.0,2.026305078082359,,80.47402287123779
2019-11-08,64.67,65.11,64.21,65.04,63.12,69986400,,0.0,2.0612523054529603,,80.96221228966445
2019-11-11,64.57,65.62,64.57,65.55,63.62,81821200,,0.0,2.1058263177182184,,82.31162811849659
2019-11-12,65.39,65.7,65.23,65.49,63.56,87388800,,0.0,2.1119646313993314,,81.57901693216118
2019-11-13,65.28,66.19,65.27,66.12,64.17,102734400,66.1917508,0.0,2.142962288768878,2.006839192348022,83.263444772919
2019-11-14,65.94,66.22,65.53,65.66,63.73,89182800,65.80591555,-0.3858352499999995,2.106131823303201,2.026697718539058,77.67821780799572
2019-11-15,65.92,66.44,65.75,66.44,64.48,100206400,66.53581342,0.7298978700000021,2.1154967654790653,2.0444575279270594,80.1140843933902
